"Asgardian","English"
"pika","ability | what one can do"
"piki","each other | one another"
"piku","condition | status"
"pima","companion | one with whom one does something"
"pina","the lowest amount | the least amount"
"pini","entitlement | right | what one deserves"
"pipira","continue | continuation | action or state that continues | keeping on"
"pipiua","bird"
"pira","face (of an object) | side | surface"
"pirau","splash (action / sound)"
"piri","electricity"
"piru","consuming liquid | drinking | imbibing"
"pisa","recipient (of a transfer)"
"pisi","insect"
"pisoka","job | position | what one does in exchange for money"
"pitana","requirement | need"
"poha","illness | sickness"
"poi","8 | eight"
"poiki","spring"
"poka","item of furniture | furniture"
"poko","catching | grabbing | seizing"
"poku","sibling | brother / sister"
"poma","companion | one with whom an activity is performed"
"popoi","bouncing"
"poreki","adjacent area to something | the side of something | the area next to something"
"poru","_ability | what can be done //to// something"
"posara","beyond | far side | other side"
"pose","sleep | sleeping"
"puko","egg"
"puni","desire | want"
"puru","elephant"
"ramu","participant | partaker"
"rarara","singing | ""lalala"" sound (as to music)"
"rarau","barking (of a dog)"
"re","situation | event | action | state | one's ""deal"""
"rena","exterior | outside"
"repa","plate(s) | dish(es) (for serving)"
"rikasu","value | worth"
"riki","hardness | firmness"
"riko","friend"
"rima","origin | source | where something is from or comes from"
"rina","ringing (as of a phone)"
"rini","motion | movement | moving"
"rioso","adolescent | nascent adult"
"rita","9 | nine"
"ritau","burst | explosion | rupture"
"roti","at least one instance"
"rotuki","a walk | walking"
"ruko","anger"
"rumu","nose | snout"
"sa","{forward genitive particle}"
"sai","degree | extent to which something happens | intensity | level"
"sako","truth | reality"
"samu","patient | one who is affected by a state or event"
"sano","anticipation | hope"
"sanu","all | entirety | whole thing"
"sapa","3rd person | The one (we're currently talking about)"
"sapara","a surplus | a (good) excess amount"
"sari","day | one cycle of light and darkness | 24 Earth hours"
"sasa","buzzing"
"satera","planet"
"se","act | action | deed | what one does / did / will do"
"seki","right (side)"
"sekuse","beverage | drink"
"seri","temporary state of affairs"
"si","exclusive disjunction element | or (but not both)"
"siho","plain | field"
"siki","front | front side | space in front of something"
"siko","air | atmosphere"
"sima","pool | pond | small body of water"
"simo","manner | method | way | how something is done"
"sinu","lying | reclining"
"sipa","west"
"sipate","grass (plant)"
"sireto","free-time activity | hobby"
"siu","destination | goal | where something is going"
"so","10 | ten"
"soinu","(an) attempt | try | what one tries to do"
"soka","below | bottom | space below something | under | underside"
"sokara","an equal amount | the same amount"
"somo","parent | mother | father"
"sona","idea | thinking | thought"
"sone","things that have happened (and continue to bear on the present)"
"soni","heaviness | heavy | weight"
"sonu","name | what someone or something is called"
"sopo","ear"
"soru","that (by listener) | that (by you)"
"soto","age | how old something is | oldness"
"su","2nd person singular | you"
"supa","all | collectively everyone"
"surai","gratitude | thanks"
"surena","romantic partner"
"suruna","auditory perception | hearing"
"sute","area | region (of space) | space | zone (not necessarily with physical borders)"
"sutemo","tear | rip"
"suti","badness"
"ta","3rd person singular | he/him | she/her | they/them | it"
"tairi","bone(s)"
"taise","memo | minutes (of a meeting) | note(s) (of a class) | written recording"
"take","family"
"taki","cat(s) | feline(s)"
"takima","garden | outdoor area for recreation or appreciation of nature | park"
"tanare","gender (social role) | gender identity"
"tapi","going | journey | travel | trip"
"tapo","being | existence | presence"
"tapu","reading | the act of reading written material"
"tari","the same instance | the same one"
"tarune","exception | exclusion | one that is not counted"
"taruto","inapplicable amount | nonsensical amount | N/A"
"taseti","family member | relation"
"taso","celestial body"
"tasoki","not enough | insufficient quantity | dearth | insufficient amount"
"tasune","at least some | some quantity | not none | a non-zero amount"
"tatuata","colloquial saying | expression | turn of phrase"
"tau","having | holding"
"tehe","baby | infant"
"teka","location | place | position in space | where something is"
"tekeri","medium amount | moderate amount"
"tekome","what turns out to be the case"
"teni","skin | hide"
"tepi","greeting(s) | hello"
"tepu","flexible floor covering made of fabric, carpet, or other soft material | mat | rug"
"tese","what is likely to happen or be the case"
"tesi","beginning | starting"
"teso","list | ordered series"
"tesoi","good status | wellness"
"tete","focus (of a state or emotion) | stimulus (of perception) | subject (of emotion, of thought) | topic (of emotion, of thought) | what something is about"
"teto","example | instance"
"tetu","few | little amount | small amount"
"teu","heat | hotness | warmness"
"tiko","any instance | whichever instance"
"timike","evaluation | exam | test (academic)"
"tinamo","baseline | item for comparison | referent"
"tipa","the near future | what is about to happen"
"tira","joy | happiness"
"tisa","that which is about to be said | the following"
"tisi","bee (animal)"
"titui","floor | level (of a building) | story / storey"
"to","past | what was | what happened"
"toio","stone | rock"
"toka","building (for living or working in) | structure"
"toko","being seated | sitting"
"topa","marker | pen | pencil | writing implement"
"tope","instrument | tool | with what one does something"
"tore","item | (physical) object | thing"
"tosa","hand"
"tosora","the greatest amount | the most"
"tota","you | the entity currently being spoken or written to"
"totaki","making | crafting | creating"
"toto","for what purpose something occurs | goal | intention | purpose | reason | why something is happening"
"tu","modifier | attribute, relative clause, adjective, property | such that"
"tui","the previous one | what came before this one"
"tuka","standing (being in a standing position)"
"tuki","bin | box | rigid container"
"tumuse","adult | fully-grown member of species"
"tune","sufficient amount | enough | satisfactory amount"
"tupa","absence | missingness | unexpected absence"
"turai","100 | hundred"
"turi","food | meal(s)"
"turo","each | every"
"tusapo","collegiality | fair treatment | respect"
"tusimo","province | state | sub-national-level division"
"tuso","root (of a plant)"
"uale","large number set"
"uku","pigeon | dove"
"ukute","a lesser / lower amount | less | fewer"
"ura","Above | Over | Top"
"usu","even an instance"
"utai","obligation | something that should happen | something that is supposed to / expected to happen"
