"Asgardian","English"
"kura","ordered sequence (of numbers) | ordered set"
"kuro","device (electronic)"
"kute","inside | interior"
"maku","sadness | sorrow"
"manu","amount | number | quantity"
"mau","material | stuff | substance | what something is made out of"
"minasi","freedom | lack of restraint"
"mira","water (liquid)"
"miru","reviewing | revising | studying (academic)"
"mitapi","problem | trouble"
"moi","also | too"
"moia","aid | assistance | help"
"mora","oneself | one's own | self"
"motomoto","and others | et cetera | miscellaneous"
"muma","cattle | cow | bovine | bull"
"mupisi","quitting | stopping (before completion)"
"muraku","sex (biological)"
"murate","awkwardness | embarrassment | discomfort | unease"
"mure","result | therefore | what happens because of something else"
"muta","excessive amount | too much of something"
"muto","space | universe"
"na","{equality particle} | am / is / are | equals | ="
"nai","no | not | the world of things that are not the case"
"nani","affinity | a liking for something"
"napesi","definition | meaning | what a word means"
"napu","impetus | motivation | past event which causes one to perform the current action | reason | why one does something"
"natopi","male (sex)"
"ne","{subordinate equality particle}"
"nekumo","instance | occurrence | repetition"
"nena","horse | equine"
"nepi","point in time | time | when something happens"
"nima","I | me | this | the entity currently speaking or communicating"
"niroi","the time during something | the time ""in the middle"" of something"
"nota","earlier time | past | time before now"
"nuko","interrogative | question"
"oha","net (for catching)"
"okiu","Lion"
"oko","curiosity | interest | wonder"
"oma","canine | dog"
"ona","instance (of a substance) | unit"
"onase","near past | what just happened"
"opia","tortoise | turtle | terrapin"
"oro","wheel"
"osa","the aforementioned | that which was just said"
"otesa","generosity | kindness"
"oto","part of a whole | portion"
"pa","attribute | characteristic | quality"
"paku","agent | doer | one responsible for an action or state"
"pamai","night (opposite of day)"
"papara","sheep"
"pare","future | what is to come"
"pari","the act of writing | writing"
"paru","point along a journey | point along which, or through which, one travels | waypoint"
"paruma","engine | combustion engine"
"parune","entry (in a list or collection) | list item"
"pasi","causing to be seen | displaying | showing"
"pata","washing"
"pau","great amount of something | large amount of something | lot(s) of something | many | much"
"pere","controlling | having control of something"
"petu","beginning | starting"
"pika","ability | what one can do"
"piki","each other | one another"
"piku","condition | status"
"pina","the lowest amount | the least amount"
"pini","entitlement | right | what one deserves"
"pipiua","bird"
"piri","electricity"
"pisi","fly (insect) | gnat"
"pisoka","job | position | what one does in exchange for money"
"pitana","requirement | need"
"poha","illness | sickness"
"poiki","spring"
"poka","item of furniture | furniture"
"popoi","bouncing"
"poreki","adjacent area to something | the side of something | the area next to something"
"poru","_ability | what can be done //to// something"
"pose","sleep | sleeping"
"puni","desire | want"
"puru","elephant"
"ramu","participant | partaker"
"rarara","singing | ""lalala"" sound (as to music)"
"rarau","barking (of a dog)"
"re","situation | event | action | state | one's ""deal"""
"rikasu","value | worth"
"rima","origin | source | where something is from or comes from"
"rina","ringing (as of a phone)"
"rotuki","a walk | walking"
"ruko","anger"
"sa","{forward genitive particle}"
"sai","degree | extent to which something happens | intensity | level"
"sako","truth | reality | the world of things that are true"
"samu","patient | one who is affected by a state or event"
"sano","anticipation | hope"
"sanu","all | entirety | whole thing"
"sapa","3rd person | The one (we're currently talking about)"
"sari","day | one cycle of light and darkness | 24 Earth hours"
"sasa","buzzing"
"se","act | action | deed | what one does / did / will do"
"sekuse","beverage | drink"
"si","{exclusive disjunction particle} | or (but not both)"
"siho","plain | field"
"siko","air | atmosphere"
"simo","manner | method | way | how something is done"
"sireto","free-time activity | hobby"
"siu","destination | goal | where something is going"
"sona","idea | thinking | thought"
"sonero","things that have happened (and continue to bear on the present)"
"sonu","name | what someone or something is called"
"soru","that (by listener) | that (by you)"
"soto","age | how old something is | oldness"
"su","2nd person singular | you"
"supa","all | collectively everyone"
"surai","gratitude | thanks"
"sutemo","tear | rip"
"suti","badness"
"ta","3rd person singular | he/him | she/her | they/them | it"
"taki","cat | feline"
"takima","garden | outdoor area for recreation or appreciation of nature | park"
"tanare","gender (social role) | gender identity"
"tapi","going | journey | travel | trip"
"tapo","being | existence | presence"
"tapu","reading | the act of reading written material"
"taruto","inapplicable amount | nonsensical amount | N/A"
"tatuata","colloquial saying | expression | turn of phrase"
"tau","having | holding"
"teka","location | place | position in space | where something is"
"tekeri","medium amount | moderate amount"
"tepi","greeting | hello"
"tepu","flexible floor covering made of fabric, carpet, or other soft material | mat | rug"
"tesi","beginning | starting"
"teso","list | ordered series"
"tesoi","good status | wellness"
"tete","focus (of a state or emotion) | stimulus (of perception) | subject | topic | what something is about"
"teto","example | instance"
"tetu","few | little amount | small amount"
"timike","evaluation | exam | test (academic)"
"tipa","the near future | what is about to happen"
"tira","joy | happiness"
"tisa","that which is about to be said | the following"
"tisi","bee (animal)"
"toka","building (for living or working in) | structure"
"toko","being seated | sitting"
"tope","instrument | tool | with what one does something"
"tore","item | (physical) object | thing"
"tota","you | the entity currently being spoken or written to"
"toto","for what purpose something occurs | goal | intention | purpose | reason | why something is happening"
"tu","{backwards genitive particle} | of"
"tui","the previous one | what came before this one"
"tuki","bin | box | rigid container"
"tupa","absence | missingness | unexpected absence"
"turi","food | meal"
"turo","each | every"
"tusapo","collegiality | fair treatment | respect"
"uku","pigeon | dove"
"ura","Above | Over | Top"
